step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
409,1677384,3272,0.006015222933109718,1.0,1.0,0.006202336800682014,0.875,0.875,,
410,1682256,3280,0.008730245775810002,0.625,0.625,,,,,
411,1685976,3288,0.005203699783961296,1.0,1.0,,,,,
412,1691360,3296,0.007628633781100143,0.375,0.375,,,,,
413,1695592,3304,0.011141912642856125,0.625,0.625,,,,,
414,1700080,3312,0.007712594306109466,0.5,0.5,,,,,
415,1705144,3320,0.00939960180952526,0.875,0.875,,,,,
416,1709440,3328,0.007280210977221968,0.875,0.875,,,,,
417,1713096,3336,0.008634719031976918,0.75,0.75,0.007377889166162501,1.0,1.0,,
418,1716112,3344,0.010567954907980006,0.75,0.75,,,,,
419,1719448,3352,0.006553231403553378,0.875,0.875,,,,,
420,1723616,3360,0.007152720535885831,0.625,0.625,,,,,
421,1728040,3368,0.006654066695561131,0.875,0.875,,,,,
422,1732272,3376,0.007339246210271234,1.0,1.0,,,,,
423,1737016,3384,0.005327166311680442,0.875,0.875,,,,,
424,1742208,3392,0.008122786952046686,0.875,0.875,,,,,
425,1746184,3400,0.006520086723961323,1.0,1.0,0.014789978334988924,0.75,0.75,,
426,1751696,3408,0.0041731617869814755,1.0,1.0,,,,,
